Gare;Date/Heure;Catégorie;Nom de la Source;Annonce restranscrite par ECHO;Annonce réelle;Durée en sec;Nom du mp3
Mitry-Claye;Tue, 29 Aug 2023 09:44:34;SPP;Direct;Voyageurs en gare de Mitry Claye si vous souhaitez vous rendre en direction de Paris, vous pouvez emprunter la ligne qu à la voie 2 voie 2, votre train train quai. Dans un instant, il desservira Aulnay-sous-Bois ainsi que Paris Nord, son terminus en voie de surface ou emprunter la ligne B à la voie 5 voie 5, départ prévu dans 8 Min à la voie 3 voies 3. Ce train ne prend plus de voyageur en raison d'une panne. Ce train est rendu en direction des garages.;Voyageurs en gare de Mitry Claye si vous souhaitez vous rendre en direction de Paris, vous pouvez emprunter la ligne K à la voie 2 voie 2, votre train arrivera dans un instant. il desservira Aulnay-sous-Bois ainsi que Paris Nord, son terminus en voie de surface ou emprunter la ligne B à la voie 5 voie 5, départ prévu dans 8 Min à la voie 3 voies 3. Ce train ne prend plus de voyageur en raison d'une panne. Ce train est rendu en direction des garages.;22,93;0087271528-DCT-20230829-094434-dd670589-d1b5-4e9d-a832-ac5cc1ad61b3.mp3
Lyon Part Dieu;Tue, 29 Aug 2023 09:32:40;SPI;Direct;Voyage voyage rappelle que le TER actuellement Cat à destination de Genève Départ 09h38 aux voyageurs destination de Chambéry après départ 09h50;Voie I, Voie I, je rappelle que le TER actuellement à quai est à destination de Genève. Départ 09h38 aux voyageurs à destination de Chambéry votre TER sera reçu après départ 09h50;15,69;0087723197-PUPITRE_TACTILE_COEG-20230829-093240-1f7a519e-caca-4569-986b-ec71874e86ed.mp3
Poissy;Tue, 29 Aug 2023 12:08:06;SN;Direct;Votre prochain départ RER A destination de Torcy s'effectuera de la voie eux dans 12 Min.;Votre prochain départ RER à destination de Torcy s'effectuera de la voie E dans 12 Min.;6,66;0087386573-DCT-20230829-120806-7334b76c-cd1c-448f-af8f-fc36a0854f1c.mp3
Sartrouville;Tue, 22 Aug 2023 17:37:56;SN;Direct;Voyageurs à destination de Paris Saint-Lazare attention, votre prochain train sera reçu québécois 2 prochain train pour Paris Saint-Lazare sera reçu québécois 2 d'ici quelques minutes. Prochain train pour Paris Saint Lazare sur le Québec voie un numéro 2 si vous souhaitez emprunter ce train, merci d'emprunter les escaliers. Le passage souterrain, prochain train pour Paris Saint-Lazare Québec voie numéro 2 dans 4 à 5 Min. Merci de ne pas courir dans les escaliers, vous avez tout le temps pour changer de quai.;Voyageurs à destination de Paris Saint-Lazare attention, votre prochain train sera reçu quai B voie 2 prochain train pour Paris Saint-Lazare sera reçu quai B voie 2 d'ici quelques minutes. Prochain train pour Paris Saint Lazare sur le quai B voie numéro 2 si vous souhaitez emprunter ce train, merci d'emprunter les escaliers. Le passage souterrain, prochain train pour Paris Saint-Lazare quai B voie numéro 2 dans 4 à 5 Min. Merci de ne pas courir dans les escaliers, vous avez tout le temps pour changer de quai.;28,19;0087386417-DCT-20230822-173756-496435d8-0693-47c0-81d0-00e5e19b78bf.mp3
Marseille Saint-Charles;Wed, 23 Aug 2023 16:17:05;SN;Direct;Vous Messieurs, votre attention, s'il vous plaît. Le propriétaire de la valise noire de marque X Pack laissé sans surveillance dans le TGV 6111 à la voie C et priée de le récupérer de toute urgence avant l'intervention des services de sécurité.;Vous Messieurs, votre attention, s'il vous plaît. Le propriétaire de la valise noire de marque X Pack laissé sans surveillance dans le TGV 6111 à la voie C est priée de le récupérer de toute urgence avant l'intervention des services de sécurité.;14,86;0087751008-Pupitre_Escale_1-20230823-161705-755f4bca-fb55-4810-8420-ab095e70152c.mp3
Aéroport Charles de Gaulle 2 TGV;Tue, 29 Aug 2023 08:01:33;SN;Direct;S'il vous plaît, nous demandons propriétaire qui oublié un sac à dos de couleur marron et noir posé au sol, portes est et priée de venir le récupérer immédiatement. Le propriétaire qui oublié un sac à dos de couleur marron et noir posé au sol, portes s au niveau de la gare SNCF et priée de venir le récupérer immédiatement.;Mesdames, Monsieurs votre attention s'il vous plaît, nous demandons au propriétaire qui a oublié un sac à dos de couleur marron et noir posé au sol, porte S et priée de venir le récupérer immédiatement. Le propriétaire qui a oublié un sac à dos de couleur marron et noir posé au sol, portes S au niveau 2 de la gare SNCF et priée de venir le récupérer immédiatement.;25;0087271494-VOX@NET_1-20230829-080133-4c0de612-b959-4a52-a392-c85935deba10.mp3
Aéroport Charles de Gaulle 2 TGV;Tue, 29 Aug 2023 06:49:51;SN;Direct;Madame, Monsieur, c'est un voyageur du ouigo. 7831 destinations de Marseille, départ à 07h01, retard de 20 Min du un, défaillance de matériel. Je vous remercie de votre attention.;Madame, Monsieur, c'est annonce concernent les voyageurs du ouigo 7831 destinations de Marseille, départ à 07h01, retard de 20 Min due à une défaillance du matériel. Je vous remercie de votre attention.;17,28;0087271494-VOX@NET_1-20230829-064951-0a14929b-4375-4fd5-a57b-8e20415c9a6d.mp3
"Aéroport Charles de
Gaulle 1";28/08/2023 19:00;SN;Direct;Lash INFO trafic, ligne B, Madame Monsieur, Bonsoir et bienvenue en gare. Il est 19 h l'heure pour moi de faire un point sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne. En revanche je vous rappelle que tu lundi au vendredi à partir de 22h45. Le trafic est interrompu entre gare du Nord et l'aéroport Roissy-Charles-de-Gaulle 2, mais également un très grand joueur et métriques là pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France mobilités, les sites detransilien.comratp.fr SNCF Connect on votre appli de Mobilités, je vous souhaite à tous et à toutes. Je suis une agréable fin de journée, un bon voyage.;Flash INFO trafic, ligne B, Madame Monsieur, Bonsoir et bienvenue en gare. Il est 19 h l'heure pour moi de faire un point sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne. En revanche je vous rappelle que tu lundi au vendredi à partir de 22h45. Le trafic est interrompu entre gare du Nord et l'aéroport Roissy-Charles-de-Gaulle 2, mais également entre Gare du Nord et Mitrique.. pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France mobilités, les sites de transilien.com, ratp.fr, SNCF Connect ou votre appli de Mobilités, je vous souhaite à tous et à toutes, une agréable fin de journée et un bon voyage.;40,14;0087001479-DCT-20230828-190006-f7969dfe-555a-409f-9974-4e88c1573716.mp3
Aéroport Charles de Gaulle 2 TGV;Tue, 29 Aug 2023 09:40:32;SN;Direct;Madame, 1260, à destination de. 48. Un retard de 25 Min dû à un choc nécessite une vérification technique. Je vous remercie de votre attention.;Madame, Monsieur cette annonce concernent les voyageurs du TGV INOUI 5260 à destination de ville flandre, départ 09h48, un retard de 25 minutes due à un choc nécessite une vérification technique. Je vous remercie de votre attention. ;20,66;0087271494-VOX@NET_1-20230829-094032-d630387f-8f9b-4309-90a7-825e0dc0d7e1.mp3
Le Stade;Wed, 23 Aug 2023 04:57:21;SPI;Direct;Vous informe que votre prochain train en direction de Paris est retenu en gare d Argenteuil suite à des travaux rendu tardivement J en viens aux informé de l évolution de la situation dans quelques instants Merci de votre écoute;Vous informe que votre prochain train en direction de Paris est retenu en gare d Argenteuil suite à des travaux rendu tardivement. Je reviens vous informer de l évolution de la situation dans quelques instants Merci de votre écoute;19,86;0087381079-DCT-20230823-045721-1ab4a76b-b1cc-417e-a6e9-1a59234b5b89.mp3
