Nom de la gare;Total Voyageurs 2022
Abbaretz;40825
Ablon-sur-Seine;1203692
Achères Grand Cormier;177092
Acheux - Franleu;2
Aigrefeuille le Thou;51200
Aigueperse;70599
Aillevillers;5628
Ailly-sur-Somme;133695
Albias;26119
Albigny - Neuville;331589
Allée Royale T13;0
Amplepuis;314879
Andelot-en-Montagne;25960
Angers Maître École;33549
Angerville;151343
Anzeling;1081
Arbanats;51865
Arc-et-Senans;77323
Arcy-sur-Cure;4514
Argenteuil;16033835
Argenton-sur-Creuse;199166
Arles;781295
Arnage;10403
Arrou;11613
Aubazines - Saint-Hilaire;9738
Aubiat;7790
Aubigny-au-Bac;28473
Aubrives;11188
Auch;261165
Auray;1110096
Auterive;356140
Auxonne;362209
Avord;53799
Avoudrey;22034
Aytré Plage;13419
Azay-le-Rideau;112458
Azerailles;11158
Babinière;53740
Bagneaux-sur-Loing;24011
Bagnols-sur-Cèze;18495
Balsièges Bourg;26
Bannalec;41701
Bantzenheim;6457
Barenton-Bugny;11089
Bas Évette;11503
Bassens;60486
Bayard;119
Bayon;163022
Bayonne;1322129
Baziège;94556
Beautiran;345518
Beauvoir-sur-Niort;38082
Bédarieux;35301
Belfort;1245496
Bena Fanes;86
Bénestroff;10350
Bernay;544544
Béziers;1490704
Biache-Saint-Vaast;63288
Biarritz;731466
Bièvres;352463
Bischoffsheim;118917
Boisset;368
Boissy-l'Aillerie;255631
Bolquère - Eyne;4537
Bondy;14605023
Bonnemain;5434
Boran-sur-Oise;41848
Boulainvilliers;2585668
Boulazac;17196
Bourg-Bruche;9285
Bourg-en-Bresse;1816923
Bourges;1148025
Bourgoin-Jallieu;1846340
Bourgtheroulde - Thuit-Hébert;11589
Bouthéon;38939
Brandérion;11356
Brassac-les-Mines - Sainte-Florine;111809
Breil-sur-Roya;67208
Brélidy - Plouëc;3917
Bretenoux - Biars;21440
Bréval;308723
Brignac;249
Broye;6581
Bussac-Forêt;3818
Busseau sur Creuse;1484
Calais - Fréthun;688087
Calonne-Ricouart;30702
Cannes;4487177
Capdenac;164724
Carantilly - Marigny;0
Carbonne;301802
Carnoles;677784
Carpentras;276232
Castelsarrasin;114255
Cattenières;397
Cergy Saint-Christophe;6961854
Cessieu;53457
Ceyzériat;5267
Chabanais;0
Chabenet;135
Chamarande;146618
Chambéry - Challes-les-Eaux;4316253
Chamonix-Mont-Blanc;170534
Chamousset;38042
Champ de Courses d'Enghien;1974639
Champagne-Ardenne TGV;1033729
Chanteloup-les-Vignes;948491
Chantenay-Saint-Imbert;9463
Chapeauroux;1454
Chaponval;47276
Chartrettes;44116
Châteaubourg;548808
Châteaudun;180998
Château-Renault;101627
Château-Thierry;1482999
Châtel-Censoir;6712
Chauffailles;42962
Chaumont;352144
Chaumont-en-Vexin;294064
Chaville - Vélizy;1243912
Cheilly-lès-Maranges;17507
Chelles - Gournay;9379970
Chemillé-en-Anjou;160348
Chemin d'Antony;330557
Chenonceaux;61257
Cherbourg;587973
Chevaigné;75065
Chocques;2735
Cholet;613049
Chorges;26842
Chouzy-sur-Cisse;738
Clamart;1725465
Clion sur Seugne;0
Collonges - Fontaines;120763
Combourg;377445
Combs-la-Ville - Quincy;3181458
Compans;35359
Conches-en-Ouche;47956
Condé-sur-Huisne;24077
Corbehem;27638
Cormery;127431
Corseul - Languenan;1764
Coudekerque-Branche;11117
Couiza - Montazels;698
Courbevoie;4387299
Courcay - Tauxigny;3194
Courtalain - Saint-Pellerin;7012
Coussac-Bonneval;251
Cransac;4989
Creutzwald;1386
Croix du Prince;5957
Croix Sainte;5138
Crouy;563
Cuinchy;34787
Dannemarie;97869
Darsac;2133
Decize;100407
Dégagnac;382
Deluz;2682
Dieppe;638243
Digoin;31506
Distroff;25900
Douai;2964246
Drancy;7412637
Drusenheim;127999
Duttlenheim;158982
Ecully - Tassin;233074
Éguzon-Chantôme;10316
Elbeuf - Saint-Aubin;251017
Éloyes;41095
Entzheim Aéroport;335219
Epfig;37423
